Date,Last Price
5/16/22 18:00,1.0431
5/16/22 18:30,1.0436
5/16/22 19:00,1.0437
5/16/22 19:30,1.0439
5/16/22 20:00,1.0447
5/16/22 20:30,1.0447
5/16/22 21:00,1.0437
5/16/22 21:30,1.0449
5/16/22 22:00,1.0444
5/16/22 22:30,1.0438
5/16/22 23:00,1.0438
5/16/22 23:30,1.044
5/17/22 0:00,1.044
5/17/22 0:30,1.0441
5/17/22 1:00,1.0444
5/17/22 1:30,1.0447
5/17/22 2:00,1.0455
5/17/22 2:30,1.0458
5/17/22 3:00,1.0461
5/17/22 3:30,1.0464
5/17/22 4:00,1.048
5/17/22 4:30,1.049
5/17/22 5:00,1.0478
5/17/22 5:30,1.0475
5/17/22 6:00,1.0518
5/17/22 6:30,1.0516
5/17/22 7:00,1.0533
5/17/22 7:30,1.054
5/17/22 8:00,1.0536
5/17/22 8:30,1.0543
5/17/22 9:00,1.0533
5/17/22 9:30,1.0541
5/17/22 10:00,1.0538
5/17/22 10:30,1.0535
5/17/22 11:00,1.0535
5/17/22 11:30,1.0533
5/17/22 12:00,1.0546
5/17/22 12:30,1.0543
5/17/22 13:00,1.0544
5/17/22 13:30,1.0546
5/17/22 14:00,1.0533
5/17/22 14:30,1.0544
5/17/22 15:00,1.0541
5/17/22 15:30,1.0546
5/17/22 16:00,1.0544
5/17/22 16:30,1.055
5/17/22 17:00,1.055
5/17/22 17:30,1.0551
5/17/22 18:00,1.0548
5/17/22 18:30,1.0549
5/17/22 19:00,1.0547
5/17/22 19:30,1.0549
5/17/22 20:00,1.0559
5/17/22 20:30,1.0555
5/17/22 21:00,1.055
5/17/22 21:30,1.0539
5/17/22 22:00,1.0539
5/17/22 22:30,1.0535
5/17/22 23:00,1.0526
5/17/22 23:30,1.0533
5/18/22 0:00,1.053
5/18/22 0:30,1.0529
5/18/22 1:00,1.0535
5/18/22 1:30,1.0539
5/18/22 2:00,1.0528
5/18/22 2:30,1.0521
5/18/22 3:00,1.0515
5/18/22 3:30,1.0517
5/18/22 4:00,1.0512
5/18/22 4:30,1.0508
5/18/22 5:00,1.0514
5/18/22 5:30,1.0524
5/18/22 6:00,1.0524
5/18/22 6:30,1.0519
5/18/22 7:00,1.0512
5/18/22 7:30,1.0511
5/18/22 8:00,1.0521
5/18/22 8:30,1.0522
5/18/22 9:00,1.0519
5/18/22 9:30,1.0518
5/18/22 10:00,1.0505
5/18/22 10:30,1.051
5/18/22 11:00,1.0499
5/18/22 11:30,1.0491
5/18/22 12:00,1.049
5/18/22 12:30,1.0487
5/18/22 13:00,1.0483
5/18/22 13:30,1.0478
5/18/22 14:00,1.0482
5/18/22 14:30,1.0474
5/18/22 15:00,1.0466
5/18/22 15:30,1.0466
5/18/22 16:00,1.0463
5/18/22 16:30,1.0464
5/18/22 17:00,1.0466
5/18/22 17:30,1.0463
5/18/22 18:00,1.047
5/18/22 18:30,1.0475
5/18/22 19:00,1.0472
5/18/22 19:30,1.0473
5/18/22 20:00,1.0483
5/18/22 20:30,1.0488
5/18/22 21:00,1.0484
5/18/22 21:30,1.0487
5/18/22 22:00,1.0486
5/18/22 22:30,1.0497
5/18/22 23:00,1.0499
5/18/22 23:30,1.05
5/19/22 0:00,1.0504
5/19/22 0:30,1.0496
5/19/22 1:00,1.0494
5/19/22 1:30,1.0486
5/19/22 2:00,1.0482
5/19/22 2:30,1.0479
5/19/22 3:00,1.0473
5/19/22 3:30,1.0492
5/19/22 4:00,1.0496
5/19/22 4:30,1.0496
5/19/22 5:00,1.0492
5/19/22 5:30,1.05
5/19/22 6:00,1.0504
5/19/22 6:30,1.0528
5/19/22 7:00,1.0524
5/19/22 7:30,1.0517
5/19/22 8:00,1.0522
5/19/22 8:30,1.0538
5/19/22 9:00,1.0545
5/19/22 9:30,1.0558
5/19/22 10:00,1.0571
5/19/22 10:30,1.0591
5/19/22 11:00,1.0591
5/19/22 11:30,1.0587
5/19/22 12:00,1.0591
5/19/22 12:30,1.0594
5/19/22 13:00,1.0588
5/19/22 13:30,1.0605
5/19/22 14:00,1.0599
5/19/22 14:30,1.0598
5/19/22 15:00,1.0585
5/19/22 15:30,1.0591
5/19/22 16:00,1.0584
5/19/22 16:30,1.0588
5/19/22 17:00,1.0584
5/19/22 17:30,1.0585
5/19/22 18:00,1.0586
5/19/22 18:30,1.0581
5/19/22 19:00,1.0582
5/19/22 19:30,1.058
5/19/22 20:00,1.0578
5/19/22 20:30,1.0576
5/19/22 21:00,1.0578
5/19/22 21:30,1.0573
5/19/22 22:00,1.0562
5/19/22 22:30,1.056
5/19/22 23:00,1.056
5/19/22 23:30,1.0566
5/20/22 0:00,1.0574
5/20/22 0:30,1.0574
5/20/22 1:00,1.0575
5/20/22 1:30,1.0591
5/20/22 2:00,1.0582
5/20/22 2:30,1.0578
5/20/22 3:00,1.0571
5/20/22 3:30,1.0577
5/20/22 4:00,1.0566
5/20/22 4:30,1.0577
5/20/22 5:00,1.0586
5/20/22 5:30,1.0591
5/20/22 6:00,1.0596
5/20/22 6:30,1.0589
5/20/22 7:00,1.0578
5/20/22 7:30,1.0566
5/20/22 8:00,1.0577
5/20/22 8:30,1.0564
5/20/22 9:00,1.0562
5/20/22 9:30,1.0563
5/20/22 10:00,1.0559
5/20/22 10:30,1.0556
5/20/22 11:00,1.0546
5/20/22 11:30,1.0558
5/20/22 12:00,1.0552
5/20/22 12:30,1.0549
5/20/22 13:00,1.0548
5/20/22 13:30,1.0546
5/20/22 14:00,1.0534
5/20/22 14:30,1.0546
5/20/22 15:00,1.0554
5/20/22 15:30,1.0557
5/20/22 16:00,1.0561
5/20/22 16:30,1.0564
5/22/22 15:00,1.057
5/22/22 15:30,1.0571
5/22/22 16:00,1.0565
5/22/22 16:30,1.0565
5/22/22 17:00,1.0563
5/22/22 17:30,1.0561
5/22/22 18:00,1.0572
5/22/22 18:30,1.0576
5/22/22 19:00,1.0575
5/22/22 19:30,1.0569
5/22/22 20:00,1.0584
5/22/22 20:30,1.0582
5/22/22 21:00,1.0591
5/22/22 21:30,1.0588
5/22/22 22:00,1.0591
5/22/22 22:30,1.0589
5/22/22 23:00,1.0586
5/22/22 23:30,1.0592
5/23/22 0:00,1.0592
5/23/22 0:30,1.0591
5/23/22 1:00,1.059
5/23/22 1:30,1.0599
5/23/22 2:00,1.06
5/23/22 2:30,1.0606
5/23/22 3:00,1.0605
5/23/22 3:30,1.0601
5/23/22 4:00,1.0627
5/23/22 4:30,1.0646
5/23/22 5:00,1.0671
5/23/22 5:30,1.0679
5/23/22 6:00,1.0672
5/23/22 6:30,1.0676
5/23/22 7:00,1.0672
5/23/22 7:30,1.0657
5/23/22 8:00,1.0655
5/23/22 8:30,1.0649
5/23/22 9:00,1.0652
5/23/22 9:30,1.0665
5/23/22 10:00,1.067
5/23/22 10:30,1.0669
5/23/22 11:00,1.0681
5/23/22 11:30,1.0669
5/23/22 12:00,1.0671
5/23/22 12:30,1.0677
5/23/22 13:00,1.0677
5/23/22 13:30,1.0684
5/23/22 14:00,1.0682
5/23/22 14:30,1.0693
5/23/22 15:00,1.0686
5/23/22 15:30,1.0687
5/23/22 16:00,1.0691
5/23/22 16:30,1.0691
5/23/22 17:00,1.0692
5/23/22 17:30,1.0691
5/23/22 18:00,1.0682
5/23/22 18:30,1.0684
5/23/22 19:00,1.0684
5/23/22 19:30,1.0683
5/23/22 20:00,1.0673
5/23/22 20:30,1.0669
5/23/22 21:00,1.0672
5/23/22 21:30,1.0668
5/23/22 22:00,1.0663
5/23/22 22:30,1.0664
5/23/22 23:00,1.0668
5/23/22 23:30,1.0673
5/24/22 0:00,1.0668
5/24/22 0:30,1.0664
5/24/22 1:00,1.0666
5/24/22 1:30,1.0668
5/24/22 2:00,1.0669
5/24/22 2:30,1.0686
5/24/22 3:00,1.0724
5/24/22 3:30,1.0731
5/24/22 4:00,1.0711
5/24/22 4:30,1.0705
5/24/22 5:00,1.0715
5/24/22 5:30,1.0711
5/24/22 6:00,1.0716
5/24/22 6:30,1.071
5/24/22 7:00,1.0709
5/24/22 7:30,1.0715
5/24/22 8:00,1.0696
5/24/22 8:30,1.0708
5/24/22 9:00,1.0708
5/24/22 9:30,1.0734
5/24/22 10:00,1.0742
5/24/22 10:30,1.0727
5/24/22 11:00,1.0732
5/24/22 11:30,1.0743
5/24/22 12:00,1.0739
5/24/22 12:30,1.0731
5/24/22 13:00,1.0734
5/24/22 13:30,1.0732
5/24/22 14:00,1.0728
5/24/22 14:30,1.0725
5/24/22 15:00,1.0731
5/24/22 15:30,1.0731
5/24/22 16:00,1.0735
5/24/22 16:30,1.0736
5/24/22 17:00,1.0735
5/24/22 17:30,1.0733
5/24/22 18:00,1.0735
5/24/22 18:30,1.0739
5/24/22 19:00,1.0733
5/24/22 19:30,1.0733
5/24/22 20:00,1.0725
5/24/22 20:30,1.0723
5/24/22 21:00,1.0713
5/24/22 21:30,1.0712
5/24/22 22:00,1.0711
5/24/22 22:30,1.0707
5/24/22 23:00,1.071
5/24/22 23:30,1.0714
5/25/22 0:00,1.071
5/25/22 0:30,1.0705
5/25/22 1:00,1.0706
5/25/22 1:30,1.0708
5/25/22 2:00,1.0695
5/25/22 2:30,1.0699
5/25/22 3:00,1.069
5/25/22 3:30,1.0684
5/25/22 4:00,1.0673
5/25/22 4:30,1.067
5/25/22 5:00,1.0669
5/25/22 5:30,1.0675
5/25/22 6:00,1.067
5/25/22 6:30,1.0665
5/25/22 7:00,1.0661
5/25/22 7:30,1.066
5/25/22 8:00,1.0643
5/25/22 8:30,1.0651
5/25/22 9:00,1.0665
5/25/22 9:30,1.0667
5/25/22 10:00,1.0684
5/25/22 10:30,1.0678
5/25/22 11:00,1.0677
5/25/22 11:30,1.0657
5/25/22 12:00,1.0661
5/25/22 12:30,1.0655
5/25/22 13:00,1.0664
5/25/22 13:30,1.0672
5/25/22 14:00,1.0676
5/25/22 14:30,1.0688
5/25/22 15:00,1.0687
5/25/22 15:30,1.0677
5/25/22 16:00,1.0676
5/25/22 16:30,1.0681
5/25/22 17:00,1.0682
5/25/22 17:30,1.068
5/25/22 18:00,1.0691
5/25/22 18:30,1.069
5/25/22 19:00,1.0692
5/25/22 19:30,1.0687
5/25/22 20:00,1.0694
5/25/22 20:30,1.0704
5/25/22 21:00,1.0702
5/25/22 21:30,1.0688
5/25/22 22:00,1.0696
5/25/22 22:30,1.0697
5/25/22 23:00,1.0694
5/25/22 23:30,1.0702
5/26/22 0:00,1.0693
5/26/22 0:30,1.0682
5/26/22 1:00,1.0682
5/26/22 1:30,1.0668
5/26/22 2:00,1.0665
5/26/22 2:30,1.0677
5/26/22 3:00,1.0685
5/26/22 3:30,1.0689
5/26/22 4:00,1.0682
5/26/22 4:30,1.0682
5/26/22 5:00,1.0685
5/26/22 5:30,1.0714
5/26/22 6:00,1.0714
5/26/22 6:30,1.0719
5/26/22 7:00,1.0708
5/26/22 7:30,1.0706
5/26/22 8:00,1.0698
5/26/22 8:30,1.0698
5/26/22 9:00,1.0699
5/26/22 9:30,1.0717
